frame_id,source_dataset_id,source_specimen_id,source_frame_number,time_s_from_first_available,frame_rate_hz_reported,image_path,mask_path,image_sha256,mask_sha256,width_px_deposited,height_px_deposited,source_acquisition_width_px_reported,source_acquisition_height_px_reported,mask_present,mask_positive_pixels,mask_area_fraction,bbox_xmin_px,bbox_ymin_px,bbox_xmax_px,bbox_ymax_px,temporal_block,split,data_role
GVF-2025-0003,jrsb4b9yy5_v1,CPEEK_PANEL_001,3,0.000000000,55.0,data/public_benchmark/images/frame_0003.png,data/public_benchmark/masks/frame_0003.png,4e9d973e562ee281165fc4825d2dc8bd94d93c24045090da7fa54f621055a251,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0004,jrsb4b9yy5_v1,CPEEK_PANEL_001,4,0.018181818,55.0,data/public_benchmark/images/frame_0004.png,data/public_benchmark/masks/frame_0004.png,b94708577a7954c388b375e7781c957b1590e3f6c01e0e8fcd6bcae8ffaff4ab,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0005,jrsb4b9yy5_v1,CPEEK_PANEL_001,5,0.036363636,55.0,data/public_benchmark/images/frame_0005.png,data/public_benchmark/masks/frame_0005.png,a00d98f91172390c3ca36844ab12f0014a83c4687446ffafa6ceebee83878bde,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0006,jrsb4b9yy5_v1,CPEEK_PANEL_001,6,0.054545455,55.0,data/public_benchmark/images/frame_0006.png,data/public_benchmark/masks/frame_0006.png,eed92d13662da8ced08549e2690ecc989fa398d0382047c3f58c21dfced34007,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0007,jrsb4b9yy5_v1,CPEEK_PANEL_001,7,0.072727273,55.0,data/public_benchmark/images/frame_0007.png,data/public_benchmark/masks/frame_0007.png,47bc629d9d9f1cc65a60411ea3d4d8b614be44fba6b60c6df12bcc2bddbcf4dc,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0008,jrsb4b9yy5_v1,CPEEK_PANEL_001,8,0.090909091,55.0,data/public_benchmark/images/frame_0008.png,data/public_benchmark/masks/frame_0008.png,578d0ea86bb37736ecd9e0101445b1b2b052e73853fa732ea3f29da7488bc9c8,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0009,jrsb4b9yy5_v1,CPEEK_PANEL_001,9,0.109090909,55.0,data/public_benchmark/images/frame_0009.png,data/public_benchmark/masks/frame_0009.png,3a9804a31ba889c00d78e9864d29b7373d9afb33287a4deb5973ef8f0ee6a053,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0010,jrsb4b9yy5_v1,CPEEK_PANEL_001,10,0.127272727,55.0,data/public_benchmark/images/frame_0010.png,data/public_benchmark/masks/frame_0010.png,8289459b0f708dd71507185c852add9aace5b7763c68f88fc1c92244384c7ff5,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0011,jrsb4b9yy5_v1,CPEEK_PANEL_001,11,0.145454545,55.0,data/public_benchmark/images/frame_0011.png,data/public_benchmark/masks/frame_0011.png,c5d57fdff465bfbccf92367bbd5aad01d111945d026066512e413432c1c9c4aa,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
GVF-2025-0012,jrsb4b9yy5_v1,CPEEK_PANEL_001,12,0.163636364,55.0,data/public_benchmark/images/frame_0012.png,data/public_benchmark/masks/frame_0012.png,65f518dd061cf9e435005e1493ff5d8fb8e45c6608f62052cff3990136102cbd,be1091c2236a8f852023900becc51ed65113ab6481ee0c40317ab08f996d8f87,234,234,640,512,True,621,0.0113412228797,36,35,189,189,0,benchmark_only,experimental_public_benchmark
